968673a8	qb_expertplus_aux_Medium_SoloMarkers
e50099fc	qb_expertplus_aux_Hard_SoloMarkers
a5843ac4	qb_expertplus_aux_Expert_SoloMarkers
5af592a3	qb_expertplus_aux_FaceOffP1
c3fcc319	qb_expertplus_aux_FaceOffP2
3d22ed84	qb_expertplus_aux_FaceOffStar
9d062bbd	qb_expertplus_BossBattleP1
040f7a07	qb_expertplus_BossBattleP2
efe13c55	qb_expertplus_timesig
e97521aa	qb_expertplus_fretbars
58dcd060	qb_expertplus_markers
33da08e8	qb_expertplus_scripts_notes
594e6e07	qb_expertplus_anim_notes
8a12e9cc	qb_expertplus_triggers_notes
5679f7e7	qb_expertplus_cameras_notes
f669e2df	qb_expertplus_lightshow_notes
72e8d79b	qb_expertplus_crowd_notes
2d3f8554	qb_expertplus_drums_notes
331c1443	qb_expertplus_performance_notes
c44b986e	qb_expertplus_scripts
1c7f9044	qb_expertplus_anim
b7be623b	qb_expertplus_triggers
720a283a	qb_expertplus_cameras
4d8929af	qb_expertplus_lightshow
efdd6276	qb_expertplus_crowd
7fb2e7dc	qb_expertplus_drums
c06500d3	qb_expertplus_performance
ba20b2be	qb_expertplus_song_drums_expertplus
ab199d7e	qb_expertplus_facial
1e0114fc	qb_expertplus_localized_strings
e25cf98a	qb_expertplus_scriptevents
bec02c1a	qb_expertplus_song_startup
dcf444a4	qb_expertplus_vox_sp
1129270c	qb_expertplus_ghost_notes
50d35cde	qb_expertplus_double_kick
46ee5dda	qb_expertplus_guitar_markers
d4a082e9	qb_expertplus_rhythm_markers
4c45dee2	qb_expertplus_drum_markers
7e0c5320	qb_expertplus_Easy_DrumFill
2a48ed5f	qb_expertplus_Medium_DrumFill
2afee6c6	qb_expertplus_Hard_DrumFill
b7bd5383	qb_expertplus_Expert_DrumFill
8d44207a	qb_expertplus_Easy_DrumUnmute
093a8f8c	qb_expertplus_Medium_DrumUnmute
3e6b67e1	qb_expertplus_Hard_DrumUnmute
086e06e1	qb_expertplus_Expert_DrumUnmute
2302081a	qb_expertplus_vocals_freeform
b78b48d1	qb_expertplus_vocals_phrases
ac34ae45	qb_expertplus_vocals_note_range
e4185f27	qb_expertplus_vocals_markers
53d0d5ec	qb_expertplus_song_vocals
0d893dd6	qb_expertplus_lyrics
355e7c2c	songs/qb_expertplus.mid.qb
5fadfff7	songs/qb_expertplus_song_scripts.qb
5fee5cde	songs/qb_expertplus.mid.qs
67142ca1	songs/qb_expertplus.note
15167fe7	songs/qb_expertplus.perf
7bfef701	songs/qb_expertplus.perf.xml.qb
1c2160d6	songs/qb_expertplus.qs.de
92e8881f	songs/qb_expertplus.qs.en
f1eee4c6	songs/qb_expertplus.qs.es
adc48793	songs/qb_expertplus.qs.fr
c33f3e69	songs/qb_expertplus.qs.it
5cec7b2e	songs/qb_expertplus_rms.qd
5dae2aa7	car_female_anim_struct_qb_expertplus
096c9bf7	car_male_anim_struct_qb_expertplus
